,T_ratio,h_mid,p,f,h_atm,theta_min,NX,NY,NZ
35,1.5425175721757114,0.09174446845427156,1.130657218862325,0.3153286094311625,0.4672185363478305,1.2038184529778104,684,383,39
36,1.2694601987022907,0.1378071437589824,1.2097193165682256,0.3548596582841128,0.47125389716931776,1.019567751758967,455,256,40
37,2.4677364320959896,0.08722612354904413,1.1006953064352274,0.3003476532176137,0.7288229821782836,1.22189183259872,720,403,40
38,2.99651384470053,0.1195965432561934,1.157502317801118,0.32875115890055895,1.0362763869052725,1.092410153770123,525,294,40
39,1.7936332353856415,0.05534517392516136,1.016190694179386,0.25809534708969295,0.4219621737439359,1.3494156310942511,1135,635,40
40,1.854568593436852,0.12520521357655523,1.184589627198875,0.3422948135994375,0.6562270187272518,1.0699754724886756,501,281,40
41,2.8396617516409606,0.09961502635851502,1.012546815443784,0.256273407721892,0.8962497322495132,1.1723362213608364,630,353,40
42,2.383621324086562,0.10718687418848276,1.1978070815093815,0.34890354075469077,0.7803834761376779,1.1420488300409655,586,328,40
43,1.3948045677971095,0.06792023433372378,1.1204297868534923,0.31021489342674613,0.36350714258261346,1.2991153894600014,925,518,40
44,1.668607953004539,0.1156079881824553,1.0394071731716394,0.2697035865858197,0.567346305366419,1.1083643740650753,543,305,40
45,2.2191920490004122,0.05954752489924431,1.1499265446327627,0.32496327231638134,0.5415352671838629,1.3326062271979193,1055,590,40
46,2.566591023467481,0.14573875470086933,1.0935772969387472,0.2967886484693736,0.9798152579945639,0.9878413079914192,431,242,40
47,2.0182652049697936,0.07912989053875208,1.2324780318886042,0.3662390159443021,0.5677387215681152,1.2542767646398882,794,444,40
48,2.106455812463537,0.14869025368243455,1.0075552561320364,0.2537776280660182,0.8122572650521839,0.9760353120651584,422,237,40
49,2.6561305436771363,0.07622134713456034,1.1781027624383569,0.33905138121917844,0.7333102003248544,1.2659109382566551,824,461,40
50,2.131308553973213,0.11807578355073929,1.1095750341191888,0.3047875170595944,0.7323635920335015,1.0984931925919394,532,298,39
51,1.5787613790016621,0.05693957963958383,1.1893632807768881,0.34468164038844407,0.37672428915795053,1.3430380082365612,1103,617,40
52,1.4142118887975812,0.11087494967505335,1.1434473129920661,0.3217236564960331,0.470902722984552,1.1272965280946832,566,318,40
53,2.4052320499904454,0.06418881881982089,1.0344232395291328,0.2672116197645664,0.6093778640973603,1.3140410515156131,978,548,39
54,2.8197070444002748,0.1285957426764071,1.2240418568253517,0.36202092841267586,1.0111539547775468,1.0564133560892681,488,274,40
55,1.8335052994079888,0.09636426270008086,1.0827301773242652,0.2913650886621326,0.5691676015606454,1.1853392759945731,652,365,40
56,1.705813156440854,0.12327913492918015,1.2433104971423745,0.37165524857118726,0.5989302504812912,1.077679787078176,509,286,39
57,2.9065971723757684,0.05160827497020364,1.071267629507929,0.28563381475396454,0.6603048970050054,1.364363226914082,1217,681,40
58,2.5558903198689222,0.14120439607650043,1.1393375941552222,0.3196687970776111,0.9604313374216167,1.0059787424888949,444,250,40
59,1.3590431078337133,0.08398208348080516,1.0619602361693978,0.2809801180846989,0.3938461049873159,1.234867992871676,748,419,40
60,1.5226329632569104,0.1362954259850085,1.1059309467673302,0.3029654733836651,0.5621288411416472,1.0256146228548626,460,259,40
61,2.2829264586325735,0.0888417899608612,1.2164503815583885,0.35822519077919424,0.6804568204533518,1.2154291669514516,707,396,40
62,2.742061036871746,0.10548259196802973,1.0272895279340446,0.2636447639670223,0.8905688781774039,1.1488659589227777,595,334,40
63,1.979723304277286,0.06935555506497622,1.166190318763256,0.33309515938162804,0.5213688995906026,1.2933741065349917,905,507,39
